Time(seconds),Bus Name,Signal Name,Data
3.910882000,Async 5,Digital 6,01
3.910968000,Async 5,Digital 6,1A
3.911055000,Async 5,Digital 6,0C
3.911142000,Async 5,Digital 6,00
3.911339000,Async 5,Digital 5,01
3.911426000,Async 5,Digital 5,0A
3.911513000,Async 5,Digital 5,20
3.911600000,Async 5,Digital 5,01
3.911687000,Async 5,Digital 5,00
3.911783000,Async 5,Digital 6,04
3.911870000,Async 5,Digital 6,0F
3.911957000,Async 5,Digital 6,04
3.912044000,Async 5,Digital 6,00
3.912130000,Async 5,Digital 6,01
3.912217000,Async 5,Digital 6,19
3.912304000,Async 5,Digital 6,04
3.912477000,Async 5,Digital 6,04
3.912564000,Async 5,Digital 6,0F
3.912651000,Async 5,Digital 6,04
3.912737000,Async 5,Digital 6,00
3.912824000,Async 5,Digital 6,01
3.912911000,Async 5,Digital 6,1B
3.912997000,Async 5,Digital 6,04
3.913258000,Async 5,Digital 6,02
3.913344000,Async 5,Digital 6,46
3.913431000,Async 5,Digital 6,20
3.913518000,Async 5,Digital 6,0A
3.913604000,Async 5,Digital 6,00
3.913691000,Async 5,Digital 6,06
3.913778000,Async 5,Digital 6,00
3.913865000,Async 5,Digital 6,01
3.913951000,Async 5,Digital 6,00
3.914038000,Async 5,Digital 6,0A
3.914125000,Async 5,Digital 6,02
3.914211000,Async 5,Digital 6,02
3.914298000,Async 5,Digital 6,00
3.914385000,Async 5,Digital 6,02
3.914472000,Async 5,Digital 6,00
3.914647000,Async 5,Digital 5,02
3.914734000,Async 5,Digital 5,46
3.914821000,Async 5,Digital 5,00
3.914908000,Async 5,Digital 5,10
3.914995000,Async 5,Digital 5,00
3.915082000,Async 5,Digital 5,0C
3.915169000,Async 5,Digital 5,00
3.915256000,Async 5,Digital 5,01
3.915343000,Async 5,Digital 5,00
3.915430000,Async 5,Digital 5,0B
3.915517000,Async 5,Digital 5,02
3.915603000,Async 5,Digital 5,08
3.915690000,Async 5,Digital 5,00
3.915777000,Async 5,Digital 5,02
3.915864000,Async 5,Digital 5,00
3.915951000,Async 5,Digital 5,00
3.916038000,Async 5,Digital 5,00
3.916125000,Async 5,Digital 5,00
3.916212000,Async 5,Digital 5,00
3.916299000,Async 5,Digital 5,00
3.916386000,Async 5,Digital 5,80
3.916501000,Async 5,Digital 6,04
3.916587000,Async 5,Digital 6,0E
3.916674000,Async 5,Digital 6,04
3.916761000,Async 5,Digital 6,01
3.916847000,Async 5,Digital 6,0A
3.916934000,Async 5,Digital 6,20
3.917021000,Async 5,Digital 6,00
3.917229000,Async 5,Digital 6,04
3.917316000,Async 5,Digital 6,07
3.917402000,Async 5,Digital 6,FF
3.917489000,Async 5,Digital 6,00
3.917576000,Async 5,Digital 6,4D
3.917662000,Async 5,Digital 6,8D
3.917749000,Async 5,Digital 6,B2
3.917836000,Async 5,Digital 6,BF
3.917923000,Async 5,Digital 6,27
3.918009000,Async 5,Digital 6,28
3.918096000,Async 5,Digital 6,47
3.918183000,Async 5,Digital 6,61
3.918269000,Async 5,Digital 6,6C
3.918356000,Async 5,Digital 6,61
3.918443000,Async 5,Digital 6,78
3.918530000,Async 5,Digital 6,79
3.918616000,Async 5,Digital 6,20
3.918703000,Async 5,Digital 6,53
3.918790000,Async 5,Digital 6,36
