Time(seconds),Bus Name,Signal Name,Data
1.444942500,Async 3,Digital 3,00
1.445028250,Async 3,Digital 3,A8
1.445114000,Async 3,Digital 3,08
1.445330750,Async 3,Digital 4,01
1.445417750,Async 3,Digital 4,00
1.445504750,Async 3,Digital 4,FC
1.445591750,Async 3,Digital 4,19
1.445678500,Async 3,Digital 4,C2
1.445765500,Async 3,Digital 4,02
1.445852500,Async 3,Digital 4,00
1.445939500,Async 3,Digital 4,0C
1.446026500,Async 3,Digital 4,00
1.446113500,Async 3,Digital 4,08
1.446200250,Async 3,Digital 4,00
1.446287250,Async 3,Digital 4,03
1.446374250,Async 3,Digital 4,70
1.446461250,Async 3,Digital 4,00
1.446548250,Async 3,Digital 4,00
1.446635250,Async 3,Digital 4,01
1.446722000,Async 3,Digital 4,00
1.446809000,Async 3,Digital 4,04
1.446896000,Async 3,Digital 4,00
1.446983000,Async 3,Digital 4,00
1.447070000,Async 3,Digital 4,00
1.447157000,Async 3,Digital 4,45
1.447244000,Async 3,Digital 4,00
1.447331000,Async 3,Digital 4,46
1.447418000,Async 3,Digital 4,4F
1.447504750,Async 3,Digital 4,B8
1.447591750,Async 3,Digital 4,00
1.447678750,Async 3,Digital 4,64
1.447765750,Async 3,Digital 4,DC
1.448366000,Async 3,Digital 3,04
1.448451750,Async 3,Digital 3,FF
1.448537500,Async 3,Digital 3,19
1.448623250,Async 3,Digital 3,C2
1.448709250,Async 3,Digital 3,01
1.448795000,Async 3,Digital 3,00
1.448880750,Async 3,Digital 3,0C
1.448966500,Async 3,Digital 3,00
1.449052250,Async 3,Digital 3,08
1.449138250,Async 3,Digital 3,00
1.449224000,Async 3,Digital 3,03
1.449309750,Async 3,Digital 3,70
1.449395500,Async 3,Digital 3,00
1.449481250,Async 3,Digital 3,00
1.449567250,Async 3,Digital 3,01
1.449653000,Async 3,Digital 3,00
1.449738750,Async 3,Digital 3,04
1.449824500,Async 3,Digital 3,00
1.449910250,Async 3,Digital 3,00
1.449996250,Async 3,Digital 3,00
1.450082000,Async 3,Digital 3,45
1.450167750,Async 3,Digital 3,00
1.450253500,Async 3,Digital 3,46
1.450339250,Async 3,Digital 3,4F
1.450425250,Async 3,Digital 3,B8
1.450511000,Async 3,Digital 3,00
1.450596750,Async 3,Digital 3,64
1.450682500,Async 3,Digital 3,DC
1.450845000,Async 3,Digital 4,01
1.450932000,Async 3,Digital 4,00
1.451019000,Async 3,Digital 4,FC
1.451106000,Async 3,Digital 4,15
1.451193000,Async 3,Digital 4,C2
1.451280000,Async 3,Digital 4,02
1.451367000,Async 3,Digital 4,00
1.451454000,Async 3,Digital 4,0A
1.451541000,Async 3,Digital 4,00
1.451628000,Async 3,Digital 4,09
1.451715000,Async 3,Digital 4,00
1.451802000,Async 3,Digital 4,03
1.451888750,Async 3,Digital 4,70
1.451975750,Async 3,Digital 4,00
1.452062750,Async 3,Digital 4,00
1.452149750,Async 3,Digital 4,EA
1.452236750,Async 3,Digital 4,01
1.452323750,Async 3,Digital 4,02
1.452410750,Async 3,Digital 4,00
1.452497500,Async 3,Digital 4,00
1.452584500,Async 3,Digital 4,00
1.452671500,Async 3,Digital 4,01
1.452758500,Async 3,Digital 4,00
1.452845500,Async 3,Digital 4,00
1.452932250,Async 3,Digital 4,C2
1.453531250,Async 3,Digital 3,04
