Time(seconds),Bus Name,Signal Name,Data
7.167371000,Async 5,Digital 5,00
7.167458000,Async 5,Digital 5,2D
7.167545000,Async 5,Digital 5,00
7.167632000,Async 5,Digital 5,55
7.167719000,Async 5,Digital 5,E4
7.167805000,Async 5,Digital 5,05
7.167892000,Async 5,Digital 5,D2
7.167979000,Async 5,Digital 5,AF
7.168066000,Async 5,Digital 5,9F
7.168153000,Async 5,Digital 5,A9
7.168240000,Async 5,Digital 5,8F
7.168327000,Async 5,Digital 5,E5
7.168413000,Async 5,Digital 5,4A
7.168500000,Async 5,Digital 5,7D
7.168587000,Async 5,Digital 5,FE
7.168674000,Async 5,Digital 5,43
7.168761000,Async 5,Digital 5,53
7.168848000,Async 5,Digital 5,53
7.168935000,Async 5,Digital 5,49
7.168967000,Async 5,Digital 6,04
7.169088000,Async 5,Digital 6,13
7.169175000,Async 5,Digital 6,05
7.169261000,Async 5,Digital 6,01
7.169348000,Async 5,Digital 6,48
7.169435000,Async 5,Digital 6,00
7.169522000,Async 5,Digital 6,01
7.169608000,Async 5,Digital 6,00
7.224453000,Async 5,Digital 6,02
7.224540000,Async 5,Digital 6,48
7.224626000,Async 5,Digital 6,20
7.224713000,Async 5,Digital 6,0B
7.224800000,Async 5,Digital 6,00
7.224887000,Async 5,Digital 6,07
7.224973000,Async 5,Digital 6,00
7.225060000,Async 5,Digital 6,04
7.225147000,Async 5,Digital 6,00
7.225233000,Async 5,Digital 6,10
7.225320000,Async 5,Digital 6,2E
7.225407000,Async 5,Digital 6,00
7.225494000,Async 5,Digital 6,FF
7.225580000,Async 5,Digital 6,FF
7.225667000,Async 5,Digital 6,00
7.225754000,Async 5,Digital 6,28
7.226265000,Async 5,Digital 5,02
7.226352000,Async 5,Digital 5,48
7.226439000,Async 5,Digital 5,00
7.226526000,Async 5,Digital 5,09
7.226613000,Async 5,Digital 5,00
7.226700000,Async 5,Digital 5,05
7.226787000,Async 5,Digital 5,00
7.226874000,Async 5,Digital 5,04
7.226960000,Async 5,Digital 5,00
7.227047000,Async 5,Digital 5,01
7.227134000,Async 5,Digital 5,10
7.227221000,Async 5,Digital 5,2E
7.227308000,Async 5,Digital 5,00
7.227395000,Async 5,Digital 5,0A
7.227427000,Async 5,Digital 6,04
7.227583000,Async 5,Digital 6,13
7.227670000,Async 5,Digital 6,05
7.227757000,Async 5,Digital 6,01
7.227843000,Async 5,Digital 6,48
7.227930000,Async 5,Digital 6,00
7.228017000,Async 5,Digital 6,01
7.228104000,Async 5,Digital 6,00
7.284466000,Async 5,Digital 6,02
7.284552000,Async 5,Digital 6,48
7.284639000,Async 5,Digital 6,20
7.284726000,Async 5,Digital 6,0B
7.284813000,Async 5,Digital 6,00
7.284899000,Async 5,Digital 6,07
7.284986000,Async 5,Digital 6,00
7.285073000,Async 5,Digital 6,04
7.285159000,Async 5,Digital 6,00
